source_key,source,source_id,source_statement,capability_id,capability,disposition,justification
docs/programs/engineering-process-platform/gates.md:COMM-07,docs/programs/engineering-process-platform/gates.md,COMM-07,Repository and release controls,CAP-031,"Program control, truthful dashboard, packaging, and release train",defer,Preserved in the source map; outside the recovery concept and still independently gated.
docs/programs/engineering-process-platform/gates.md:COMM-08,docs/programs/engineering-process-platform/gates.md,COMM-08,Exact-subject release train,CAP-031,"Program control, truthful dashboard, packaging, and release train",defer,Preserved in the source map; outside the recovery concept and still independently gated.
docs/programs/engineering-process-platform/gates.md:PROG-01,docs/programs/engineering-process-platform/gates.md,PROG-01,Valid control plane,CAP-031,"Program control, truthful dashboard, packaging, and release train",defer,Preserved in the source map; outside the recovery concept and still independently gated.
docs/programs/engineering-process-platform/gates.md:PROG-02,docs/programs/engineering-process-platform/gates.md,PROG-02,Bounded WIP and isolation,CAP-024,"Security, privacy, resource, and tool-isolation controls",defer,Preserved in the source map; outside the recovery concept and still independently gated.
docs/programs/engineering-process-platform/gates.md:PROG-03,docs/programs/engineering-process-platform/gates.md,PROG-03,Independent verification,CAP-029,Engineering-process outcomes across the customer story catalog,defer,Preserved in the source map; outside the recovery concept and still independently gated.
docs/programs/engineering-process-platform/gates.md:PROG-04,docs/programs/engineering-process-platform/gates.md,PROG-04,Repair and CI discipline,CAP-029,Engineering-process outcomes across the customer story catalog,defer,Preserved in the source map; outside the recovery concept and still independently gated.
docs/programs/engineering-process-platform/gates.md:PROG-05,docs/programs/engineering-process-platform/gates.md,PROG-05,Risk/decision/change health,CAP-004,"Data, control, decision, gate, and feedback relationships",defer,Preserved in the source map; outside the recovery concept and still independently gated.
docs/programs/engineering-process-platform/gates.md:PROG-06,docs/programs/engineering-process-platform/gates.md,PROG-06,Delivery flow,CAP-029,Engineering-process outcomes across the customer story catalog,defer,Preserved in the source map; outside the recovery concept and still independently gated.
docs/programs/engineering-process-platform/gates.md:PROG-07,docs/programs/engineering-process-platform/gates.md,PROG-07,Integration truth,CAP-029,Engineering-process outcomes across the customer story catalog,defer,Preserved in the source map; outside the recovery concept and still independently gated.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-001,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-001,Turn text and images into a product concept brief,CAP-008,"Lossless Diagram, Code, and Split projections",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-002,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-002,Research missing product-definition details,CAP-029,Engineering-process outcomes across the customer story catalog,retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-003,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-003,Produce a concrete design document,CAP-029,Engineering-process outcomes across the customer story catalog,retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-004,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-004,Check a design document against its requirements,CAP-029,Engineering-process outcomes across the customer story catalog,retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-005,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-005,Approve or return a design document,CAP-022,"Human approval, authority, and safe external-action boundaries",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-006,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-006,"Inventory a supplied package of documents, images, CAD/mesh files, tables, and notes so the engineer can see what exists, what is missing, and which artifacts are authoritative.",CAP-031,"Program control, truthful dashboard, packaging, and release train",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-007,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-007,"Review a drawing, bill of materials, and manufacturing notes for completeness and internal consistency before the package is released.",CAP-031,"Program control, truthful dashboard, packaging, and release train",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-008,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-008,"Review an existing STL or mesh for size, units, orientation assumptions, closedness, thin regions, and other declared printability risks without modifying or printing it.",CAP-016,Reviewed AI proposals and semantic diff,retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-009,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-009,"Compare supplier quotations against an approved request, quantity, delivery date, technical exceptions, and commercial terms without sending or accepting anything.",CAP-031,"Program control, truthful dashboard, packaging, and release train",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-010,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-010,"Turn technician notes, equipment history, photos, and approved manuals into a prioritized diagnosis and inspection plan without commanding equipment or ordering parts.",CAP-022,"Human approval, authority, and safe external-action boundaries",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-011,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-011,"Run the accepted concept, bounded research, design-document generation, requirement review, revision loop, and approval as one inspectable process.",CAP-022,"Human approval, authority, and safe external-action boundaries",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-012,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-012,"Turn text and reference images into an approved 3D-modeling and print-preparation plan with declared geometry, material, quality, and review expectations.",CAP-022,"Human approval, authority, and safe external-action boundaries",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-013,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-013,"Review a drawing package, return markups, receive a revised package, and prove every issue was resolved or explicitly dispositioned.",CAP-031,"Program control, truthful dashboard, packaging, and release train",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-014,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-014,Build an RFQ package from an approved design package and route the exact draft for human approval without sending it.,CAP-031,"Program control, truthful dashboard, packaging, and release train",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-015,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-015,"Evaluate one or more quotes, record technical and commercial exceptions, and approve, reject, or request clarification without contacting a vendor.",CAP-031,"Program control, truthful dashboard, packaging, and release train",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-016,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-016,"Turn bracket requirements into a proposed parametric-model definition, mock geometry artifact, requirement check, and revision loop.",CAP-004,"Data, control, decision, gate, and feedback relationships",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-017,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-017,"Develop an enclosure concept, board/connector constraints, thermal-study plan, and mock evidence package for review.",CAP-031,"Program control, truthful dashboard, packaging, and release train",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-018,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-018,"Develop a fixture or jig concept from part, operation, datum, load, access, and safety requirements and route it through design review.",CAP-021,Truthful execution modes and current-run provenance,retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-019,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-019,"Turn a design basis into a traceable verification plan that assigns inspection, analysis, demonstration, or test evidence to every requirement.",CAP-019,"Inputs, Outputs, Activity, and Diagnosis per executable block",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-020,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-020,"Define a study with exact model revision, loads, boundary conditions, assumptions, outputs, acceptance criteria, and review gates before solver execution.",CAP-015,"Output inspection, lineage, open, download, and lifetime",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-021,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-021,"Triage a nonconformance, contain affected artifacts, propose cause and corrective-action work, and route the disposition for approval.",CAP-022,"Human approval, authority, and safe external-action boundaries",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-022,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-022,"Compare an engineering change against the released baseline and identify affected designs, drawings, BOMs, analyses, suppliers, tests, and approvals.",CAP-031,"Program control, truthful dashboard, packaging, and release train",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-023,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-023,"Progress an incident from intake through evidence collection, diagnosis, inspection plan, blocked-prerequisite handling, and approved work order.",CAP-022,"Human approval, authority, and safe external-action boundaries",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-024,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-024,"Assemble a technically complete supplier handoff package, validate its contents, and route it for internal approval without external delivery.",CAP-031,"Program control, truthful dashboard, packaging, and release train",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-025,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-025,"Verify that a product release package contains the approved design, drawings, BOM, analyses, deviations, instructions, and signoffs before release.",CAP-031,"Program control, truthful dashboard, packaging, and release train",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-026,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-026,"Select an installed capability for creating a sheet-metal model and see exact server, tool, schema, approval, and missing-input diagnostics before any call.",CAP-022,"Human approval, authority, and safe external-action boundaries",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-027,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-027,"Preflight native-model save and neutral STEP export destinations, formats, versions, overwrite behavior, and workspace retention.",CAP-033,"Preflight, argument/result maps, and semantic sufficiency",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-028,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-028,"Preflight flat-pattern creation and DXF export, including gauge, bend, orientation, and output-contract readiness.",CAP-015,"Output inspection, lineage, open, download, and lifetime",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-029,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-029,"Preflight drawing-sheet, view, dimension, title-block, manufacturing-markup, and export capabilities for an approved design.",CAP-022,"Human approval, authority, and safe external-action boundaries",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-030,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-030,Select and validate an image/description-to-geometry capability and its required inputs without generating geometry.,CAP-013,"Structured validation, diagnostics, and compatibility",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-031,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-031,"Preflight mesh inspection, repair, orientation, and support-generation capabilities against one exact STL revision.",CAP-033,"Preflight, argument/result maps, and semantic sufficiency",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-032,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-032,"Preflight slicer profile, material, printer envelope, quality, support, and G-code output contracts without slicing.",CAP-015,"Output inspection, lineage, open, download, and lifetime",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-033,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-033,"Preflight an installed printer-application connection, exact device identity, readiness, and authorization without uploading or starting a job.",CAP-033,"Preflight, argument/result maps, and semantic sufficiency",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-034,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-034,"Bind model preparation, meshing, solve, and result-extraction capabilities while validating units and data mappings before execution.",CAP-015,"Output inspection, lineage, open, download, and lifetime",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-035,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-035,"Bind geometry, material, boundary-condition, solve, convergence, and report capabilities for a thermal study without execution.",CAP-003,Typed ports and artifact contracts,retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-036,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-036,"Bind stock, setup, tool, operation, simulation, postprocessing, and static lint capabilities without commanding a machine.",CAP-021,Truthful execution modes and current-run provenance,retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-037,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-037,"Bind inspection-plan, measurement-import, tolerance-evaluation, and report capabilities for an exact released definition.",CAP-031,"Program control, truthful dashboard, packaging, and release train",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-038,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-038,"Bind board-envelope, connector, keep-out, enclosure, and thermal capabilities while preserving exact source identities.",CAP-010,"Direct manipulation, command batches, undo, and redo",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-039,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-039,"Bind approved materials-property sources and calculation capabilities while exposing provenance, applicability, and uncertainty.",CAP-022,"Human approval, authority, and safe external-action boundaries",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-040,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-040,"Preflight an approved RFQ email package, recipient, attachments, classification, and send authority without transmitting it.",CAP-031,"Program control, truthful dashboard, packaging, and release train",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-041,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-041,"Preflight access to a mailbox or quote repository and map received quotation fields without sending, accepting, or deleting messages.",CAP-031,"Program control, truthful dashboard, packaging, and release train",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-042,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-042,"Bind document, drawing, and PDF generation capabilities and validate templates, metadata, destinations, and output contracts.",CAP-015,"Output inspection, lineage, open, download, and lifetime",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-043,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-043,"Bind version-control or lifecycle-management capabilities and validate exact item, revision, transition, and approval requirements without release.",CAP-031,"Program control, truthful dashboard, packaging, and release train",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-044,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-044,"Preflight workspace storage, artifact naming, versioning, retention, download, and open-in-application actions for a multi-artifact result.",CAP-015,"Output inspection, lineage, open, download, and lifetime",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-045,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-045,Substitute a materially different provider/tool binding for an abstract capability and prove the process requires no customer-story or case-specific runtime branch.,CAP-005,Exact governed implementation and MCP bindings,retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-046,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-046,"Create a sheet-metal model from an approved design document, validate it, and save exact native and STEP artifacts in the Wright workspace.",CAP-022,"Human approval, authority, and safe external-action boundaries",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-047,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-047,Create and validate a flat pattern from the approved model and save an exact DXF artifact with lineage to the source revision.,CAP-022,"Human approval, authority, and safe external-action boundaries",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-048,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-048,"Create a manufacturing drawing with flat view, dimensions, title block, bend information, and markup, then validate and save it.",CAP-013,"Structured validation, diagnostics, and compatibility",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-049,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-049,"Execute the approved design-to-model-to-flat-to-drawing chain and stop with a complete, validated internal manufacturing package.",CAP-031,"Program control, truthful dashboard, packaging, and release train",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-050,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-050,Send an approved sheet-metal RFQ package to approved recipients and retain exact delivery evidence and attachments.,CAP-031,"Program control, truthful dashboard, packaging, and release train",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-051,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-051,"Approve or reject a received quote and, after explicit approval, send the corresponding award, decline, or clarification message.",CAP-022,"Human approval, authority, and safe external-action boundaries",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-052,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-052,"Generate a reviewable mesh and STL from approved text/image requirements, validate geometry lineage, and save the artifacts.",CAP-022,"Human approval, authority, and safe external-action boundaries",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-053,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-053,"Inspect and repair a mesh, propose orientation and supports, obtain review, and save a validated printable STL revision.",CAP-013,"Structured validation, diagnostics, and compatibility",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-054,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-054,Slice an approved STL with an exact printer/material/profile identity and save validated project and G-code artifacts.,CAP-022,"Human approval, authority, and safe external-action boundaries",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-055,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-055,Deliver an approved sliced job to the exact printer application/device queue without starting physical motion and verify receipt.,CAP-022,"Human approval, authority, and safe external-action boundaries",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-056,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-056,"Produce and statically validate a machining setup, tool list, operation plan, simulation record, and postprocessed program without machine actuation.",CAP-021,Truthful execution modes and current-run provenance,retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-057,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-057,"Turn a released part package into a reviewed manufacturing approach, risk list, cycle-time basis, and quotation package.",CAP-031,"Program control, truthful dashboard, packaging, and release train",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
docs/programs/engineering-process-platform/customer-process-user-stories.md:EPP-US-058,docs/programs/engineering-process-platform/customer-process-user-stories.md,EPP-US-058,"Execute a structural study, validate mesh/loads/units/convergence/results, and iterate design feedback until acceptance or bounded stop.",CAP-015,"Output inspection, lineage, open, download, and lifetime",retain,Customer outcome remains addressable by the generic canonical model; no story-specific dispatch is added.
